id,food,serving_size_g,calories_kcal,protein_g,fat_g,carbohydrates_g,vitamin_a_mg,vitamin_b6_mg,vitamin_b12_mg,vitamin_c_mg,vitamin_d_mg,vitamin_e_mg,calcium_mg,iron_mg,potassium_mg,magnesium_mg,selenium_mg,zinc_mg,iodine_mg,allergens
169,"Casserole, chicken",100,110,9.0,5.0,7.0,0.01,0.16,0.0002,2.0,0,0.20,40,1.4,230,20,0,1.0,0,none
170,"Casserole, tuna",100,125,10.0,6.0,8.0,0.01,0.12,0.001,0,0.001,0.25,45,1.3,240,22,0.022,1.1,0.030,"fish, wheat (gluten), milk"
171,"Quiche, spinach",100,140,8.0,9.0,10.0,0.04,0.15,0.0004,5.0,0.0005,0.30,100,1.7,280,26,0,1.4,0,"wheat (gluten), egg, milk"
173,"Pancakes, plain",100,227,6.0,10.0,28.0,0.01,0.12,0,0,0,0.20,180,2.5,180,20,0,0.8,0,"wheat (gluten), milk, egg"
174,"Waffles, plain",100,291,7.0,12.0,37.0,0.01,0.14,0,0,0,0.30,220,3.0,210,22,0,1.0,0,"wheat (gluten), milk, egg"
175,French toast,100,229,8.0,11.0,25.0,0.02,0.15,0.0003,0,0,0.25,100,2.7,170,18,0,1.2,0,"wheat (gluten), milk, egg"
176,"Doughnut, glazed",100,452,5.0,25.0,50.0,0.01,0.10,0,0,0,0.20,40,2.0,140,15,0,0.6,0,"wheat (gluten), milk, egg"
177,"Muffin, blueberry",100,333,4.5,12.0,53.0,0.01,0.08,0,1.0,0,0.15,70,1.5,120,14,0,0.5,0,"wheat (gluten), milk, egg"
178,"Brownie, chocolate",100,405,4.0,22.0,52.0,0.01,0.06,0,0,0,0.20,40,2.5,210,20,0,0.9,0,"wheat (gluten), milk, egg, soy"
179,"Cake, sponge",100,297,5.0,12.0,42.0,0.02,0.10,0,0,0,0.10,50,1.5,130,15,0,0.6,0,"wheat (gluten), milk, egg"
180,"Cake, chocolate",100,389,5.0,17.0,56.0,0.02,0.09,0,0,0,0.25,60,2.0,190,20,0,0.8,0,"wheat (gluten), milk, egg, soy"
181,"Pie, apple",100,237,2.5,11.0,34.0,0.01,0.05,0,2.0,0,0.10,20,1.0,120,10,0,0.4,0,"wheat (gluten), milk, egg"
182,"Pie, pumpkin",100,243,3.0,12.0,32.0,0.08,0.06,0,4.0,0,0.15,50,1.2,180,15,0,0.5,0,"wheat (gluten), milk, egg"
183,"Pie, cherry",100,260,2.5,12.0,37.0,0.01,0.04,0,3.0,0,0.10,18,1.0,140,12,0,0.3,0,"wheat (gluten), milk, egg"
184,"Custard, vanilla",100,122,4.0,3.5,18.0,0.05,0.07,0.0002,0,0,0.10,120,0.4,150,12,0,0.2,0,"milk, egg"
185,"Pudding, chocolate",100,130,2.5,3.0,23.0,0.01,0.05,0,0,0,0.15,110,0.4,140,10,0,0.3,0,milk
186,"Ice pop, fruit",100,90,0.5,0.2,22.0,0.01,0.01,0,6.0,0,0.05,10,0.2,40,5,0,0,0,none
187,"Jelly, fruit",100,250,0,0,62.0,0,0,0,0,0,0,8,0.1,20,2,0,0,0,none
188,"Jam, strawberry",100,278,0.3,0.2,67.0,0.01,0.01,0,8.0,0,0.10,16,0.2,120,7,0,0,0,none
189,Honey cake,100,340,5.0,12.0,55.0,0.01,0.08,0,0,0,0.20,45,1.3,130,15,0,0.5,0,"wheat (gluten), milk, egg"
190,Marshmallows,100,318,1.0,0.1,81.0,0,0,0,0,0,0,3,0.1,5,2,0,0,0,none (may contain egg)
191,"Candy, hard, fruit",100,394,0,0.1,98.0,0,0,0,0,0,0,4,0.2,2,1,0,0,0,none
192,"Candy, chocolate bar",100,535,6.0,30.0,59.0,0.01,0.05,0,0,0,0.40,200,2.2,450,60,0,1.2,0,"milk, soy, peanut"
194,"Cookies, chocolate chip",100,488,5.0,24.0,64.0,0.01,0.05,0,0,0,0.30,40,2.5,220,25,0,0.9,0,"wheat (gluten), milk, egg, soy"
195,"Cookies, oatmeal",100,450,6.0,18.0,68.0,0.01,0.06,0,0,0,0.25,50,2.8,240,28,0,1.0,0,"wheat (gluten), milk, egg"
196,"Cookies, sugar",100,502,4.5,24.0,72.0,0.01,0.04,0,0,0,0.20,35,1.8,210,20,0,0.7,0,"wheat (gluten), milk, egg"
197,"Biscuit, plain",100,353,7.0,12.0,54.0,0.01,0.08,0,0,0,0.15,140,2.6,180,20,0,0.8,0,"wheat (gluten), milk"
198,"Croissant, chocolate",100,406,7.0,21.0,45.0,0.01,0.09,0,0,0,0.25,50,2.3,160,18,0,0.7,0,"wheat (gluten), milk, egg, soy"
199,Danish pastry,100,418,5.0,22.0,50.0,0.01,0.08,0,0,0,0.30,45,2.0,150,15,0,0.6,0,"wheat (gluten), milk, egg"
200,"Eclair, chocolate",100,340,6.0,19.0,38.0,0.02,0.07,0,0,0,0.20,55,1.8,140,12,0,0.5,0,"wheat (gluten), milk, egg"
201,"Profiterole, cream",100,333,6.0,18.0,37.0,0.02,0.06,0,0,0,0.25,60,1.5,135,11,0,0.5,0,"wheat (gluten), milk, egg"
202,Tiramisu,100,240,5.0,15.0,25.0,0.02,0.08,0.0002,0,0,0.30,120,1.4,190,16,0,0.7,0,"wheat (gluten), milk, egg"
203,"Cheesecake, plain",100,321,6.0,22.0,26.0,0.03,0.07,0.0002,0,0,0.35,60,1.0,170,15,0,0.6,0,"milk, egg, wheat (gluten)"
204,Pavlova,100,352,4.0,0.5,84.0,0.02,0.03,0.0002,0,0,0.05,20,0.3,90,8,0,0.2,0,"egg, sugar"
205,"Cupcake, vanilla",100,305,4.0,12.0,48.0,0.01,0.05,0,0,0,0.20,45,1.2,120,10,0,0.4,0,"wheat (gluten), milk, egg"
206,"Cupcake, chocolate",100,370,5.0,16.0,55.0,0.01,0.06,0,0,0,0.25,50,1.5,150,12,0,0.5,0,"wheat (gluten), milk, egg, soy"
207,"Trifle, fruit",100,150,3.0,5.0,22.0,0.01,0.04,0.0001,1.0,0,0.10,40,0.8,120,9,0,0.3,0,"milk, egg, wheat (gluten)"
208,Panna cotta,100,291,3.0,23.0,20.0,0.02,0.03,0.0002,0,0,0.15,80,0.5,90,8,0,0.2,0,milk
209,Creme brulee,100,324,5.0,26.0,21.0,0.03,0.04,0.0003,0,0,0.20,90,0.7,100,9,0,0.3,0,"milk, egg"
210,Baklava,100,430,8.0,23.0,52.0,0.01,0.05,0,0,0,0.40,70,2.7,260,28,0,1.0,0,"wheat (gluten), nuts"
211,"Halva, sesame",100,469,12.0,26.0,47.0,0,0.08,0,0,0,0.50,120,3.5,460,120,0,1.2,0,sesame
212,Nougat,100,397,3.0,11.0,74.0,0,0.02,0,0,0,0.10,50,1.0,150,15,0,0.3,0,"nuts, egg"
213,Turkish delight,100,322,0.5,0.2,80.0,0,0,0,0,0,0.05,20,0.4,60,5,0,0.1,0,none (may contain nuts)
215,"Cereal bar, chocolate",100,420,6.0,15.0,68.0,0.01,0.08,0,0,0,0.30,60,2.5,250,40,0,0.8,0,"wheat (gluten), milk, soy"
216,"Cereal bar, fruit",100,390,5.0,10.0,72.0,0.01,0.07,0,2.0,0,0.20,50,2.0,240,35,0,0.6,0,"wheat (gluten), nuts"
217,"Energy bar, protein",100,360,25.0,12.0,40.0,0.02,0.50,0,0,0,0.40,200,4.0,450,90,0,3.0,0,"milk, soy, nuts"
218,Granola bar,100,471,8.0,20.0,65.0,0.01,0.20,0,0,0,0.30,100,3.2,380,70,0,1.5,0,"wheat (gluten), nuts"
219,"Milkshake, chocolate",100,112,3.0,2.0,20.0,0.02,0.05,0.0003,0,0.0001,0.10,120,0.5,180,15,0,0.4,0,milk
220,"Milkshake, strawberry",100,95,2.5,1.5,18.0,0.02,0.04,0.0002,3.0,0,0.08,100,0.4,170,14,0,0.3,0,milk
221,"Smoothie, fruit",100,60,1.0,0.5,14.0,0.01,0.05,0,15.0,0,0.20,25,0.6,220,18,0,0.4,0,none
222,"Smoothie, green",100,45,2.0,0.5,9.0,0.03,0.10,0,20.0,0,0.40,40,0.8,300,25,0,0.5,0,none
223,"Protein shake, whey",100,390,30.0,7.0,55.0,0,0.40,0,0,0,0.20,200,3.0,450,80,0,2.0,0,milk
224,Sports drink,100,25,0,0,6.0,0,0,0,0,0,0,2,0,30,2,0,0,0,none
225,"Cola, regular",100,42,0,0,11.0,0,0,0,0,0,0,2,0,3,1,0,0,0,none
226,"Cola, diet",100,1,0,0,0.2,0,0,0,0,0,0,2,0,3,1,0,0,0,none
227,Orange juice,100,45,0.7,0.2,10.0,0.01,0.05,0,50.0,0,0.10,11,0.2,200,10,0,0.1,0,none
228,Apple juice,100,46,0.1,0.1,11.0,0,0.02,0,0.5,0,0.05,8,0.1,100,5,0,0.1,0,none
229,Grape juice,100,60,0.4,0.1,15.0,0,0.03,0,1.0,0,0.10,10,0.3,100,7,0,0.1,0,none
230,Tomato juice,100,17,0.9,0.1,3.9,0.02,0.08,0,18.0,0,0.30,10,0.5,220,11,0,0.2,0,none
231,Carrot juice,100,40,0.8,0.1,9.0,0.95,0.07,0,7.0,0,0.20,33,0.3,200,10,0,0.1,0,none
232,Beet juice,100,43,1.6,0.1,10.0,0,0.05,0,5.0,0,0.10,15,0.6,325,20,0,0.2,0,none
233,Cranberry juice,100,46,0.4,0.1,12.0,0,0.04,0,13.0,0,0.10,8,0.3,77,6,0,0.1,0,none
234,Pineapple juice,100,50,0.4,0.1,13.0,0.01,0.06,0,14.0,0,0.15,13,0.4,130,12,0,0.2,0,none
236,"Mango, raw",100,60,0.8,0.4,15.0,0.05,0.12,0,36.0,0,0.90,11,0.2,168,10,0,0.1,0,none
237,"Papaya, raw",100,43,0.5,0.3,11.0,0.05,0.04,0,61.0,0,0.30,20,0.1,182,21,0,0.1,0,none
238,"Pineapple, raw",100,50,0.5,0.1,13.0,0.01,0.11,0,47.0,0,0.20,13,0.3,109,12,0,0.1,0,none
239,"Kiwi, raw",100,61,1.1,0.5,15.0,0.04,0.12,0,92.7,0,1.5,34,0.3,312,17,0,0.2,0,none
240,"Avocado, raw",100,160,2.0,15.0,9.0,0.01,0.25,0,10.0,0,2.1,12,0.6,485,29,0,0.6,0,none
241,"Guava, raw",100,68,2.6,1.0,14.0,0.03,0.11,0,228.0,0,0.73,18,0.3,417,22,0,0.2,0,none
242,"Passion fruit, raw",100,97,2.2,0.4,23.0,0.01,0.10,0,30.0,0,0.02,12,1.6,348,29,0,0.4,0,none
243,"Dragon fruit, raw",100,50,1.2,0.1,11.0,0,0.04,0,3.0,0,0.10,18,0.1,140,10,0,0.1,0,none
244,"Lychee, raw",100,66,0.8,0.4,17.0,0.01,0.10,0,71.0,0,0.30,5,0.3,171,10,0,0.1,0,none
245,"Pomegranate, raw",100,83,1.7,1.2,19.0,0.01,0.08,0,10.0,0,0.60,10,0.3,236,12,0,0.2,0,none
246,"Fig, raw",100,74,0.8,0.3,19.0,0,0.11,0,2.0,0,0.11,35,0.4,232,17,0,0.2,0,none
247,"Dates, raw",100,277,1.8,0.2,75.0,0,0.09,0,0,0,0.10,39,1.0,696,54,0,0.4,0,none
248,"Prunes, dried",100,240,2.2,0.4,64.0,0,0.21,0,0,0,0.40,43,0.9,732,41,0,0.4,0,none
249,"Raisins, seedless",100,299,3.1,0.5,79.0,0,0.19,0,2.0,0,0.12,50,1.9,749,32,0,0.3,0,none
250,"Apricots, dried",100,241,3.4,0.5,63.0,0.10,0.14,0,1.0,0,4.3,55,2.7,1162,32,0,0.4,0,none
251,"Apple, dried",100,243,0.9,0.3,65.0,0,0.06,0,2.0,0,0.11,40,0.9,450,20,0,0.2,0,none
252,"Banana, dried",100,346,3.9,1.8,88.0,0,0.37,0,8.7,0,1.0,22,1.2,1491,108,0,1.2,0,none
253,"Mango, dried",100,319,2.5,1.2,78.0,0.05,0.21,0,43.0,0,4.8,35,1.0,980,45,0,0.4,0,none
254,"Blueberries, dried",100,317,2.5,2.7,81.0,0,0.15,0,3.0,0,4.0,19,0.8,225,25,0,0.3,0,none
255,"Cranberries, dried, sweetened",100,325,0.1,1.4,82.0,0,0.05,0,0.2,0,0.60,8,0.3,48,6,0,0.1,0,none
257,Almond butter,100,614,21.0,56.0,19.0,0,0.14,0,0,0,24.0,347,3.3,748,279,0,3.1,0,tree nuts
258,"Peanut butter, smooth",100,588,25.0,50.0,20.0,0,0.37,0,0,0,9.1,43,1.9,649,168,0,2.5,0,peanut
259,"Hazelnut spread, chocolate",100,546,6.0,31.0,57.0,0,0.07,0,0,0,7.0,114,3.6,375,100,0,1.2,0,"tree nuts, milk, soy"
260,Tahini (sesame paste),100,595,17.0,53.0,21.0,0,0.15,0,0,0,0.2,426,9.0,414,362,0,4.6,0,sesame
261,Sunflower seed butter,100,617,17.0,56.0,18.0,0,0.20,0,0,0,36.0,78,5.4,850,395,0,5.0,0,none
262,Cashew butter,100,553,18.0,44.0,30.0,0,0.15,0,0,0,0.9,45,6.0,565,270,0,5.6,0,tree nuts
263,Pistachio butter,100,594,21.0,47.0,28.0,0,0.18,0,0,0,2.3,110,4.0,1025,450,0,6.5,0,tree nuts
264,Walnut butter,100,655,15.0,62.0,14.0,0,0.20,0,0,0,0.7,98,2.9,523,158,0,3.1,0,tree nuts
265,Soy sauce,100,53,8.0,0.6,5.0,0,0.07,0,0,0,0.2,33,2.1,435,40,0,0.4,0,"soy, wheat (gluten)"
266,Ketchup,100,101,1.3,0.1,27.0,0.03,0.06,0,4.0,0,1.0,15,1.2,330,20,0,0.2,0,none
267,Mayonnaise,100,680,1.0,75.0,1.0,0,0.03,0,0,0,3.0,8,0.2,20,2,0,0.1,0,egg
268,"Mustard, yellow",100,66,4.0,5.0,6.0,0,0.08,0,1.0,0,0.4,58,1.6,152,33,0,0.6,0,none
269,"Vinegar, apple cider",100,21,0,0,0.9,0,0,0,0,0,0,7,0.2,73,4,0,0,0,none
270,"Pickles, cucumber, dill",100,12,0.5,0.2,2.3,0,0.03,0,1.0,0,0.1,16,0.3,117,7,0,0.1,0,none
271,Sauerkraut,100,19,1.0,0.1,4.0,0,0.05,0,15.0,0,0.1,30,1.5,170,13,0,0.2,0,none
272,"Olives, green",100,145,1.0,15.0,3.0,0,0.04,0,0,0,1.6,52,3.3,42,11,0,0.2,0,none
273,"Olives, black",100,115,0.8,11.0,6.0,0,0.03,0,0,0,1.5,88,3.5,8,4,0,0.1,0,none
274,Capers,100,23,2.0,0.9,4.9,0,0.07,0,4.0,0,0.1,40,1.7,40,33,0,0.3,0,none
275,"Relish, sweet",100,122,0.6,0.2,30.0,0,0.02,,,,,,,,,,,,
277,Chili sauce,100,80,1.5,0.5,18.0,0.05,0.10,0,20.0,0,0.7,20,1.2,340,25,0,0.3,0,none
278,Soybean paste (miso),100,198,12.0,6.0,26.0,0,0.20,0,0,0,0.1,57,3.0,400,50,0,2.0,0,soy
279,Curry paste,100,150,2.0,7.0,20.0,0.02,0.10,0,2.0,0,0.5,40,2.5,300,40,0,0.8,0,none
280,Pesto sauce,100,534,8.0,50.0,12.0,0.02,0.15,0,1.0,0,4.0,250,2.5,320,60,0,1.2,0,"milk, nuts"
281,Tomato paste,100,82,4.3,0.5,19.0,0.05,0.20,0,27.0,0,0.8,38,3.9,1014,54,0,0.7,0,none
282,"Tomato ketchup, reduced sugar",100,90,1.5,0.2,22.0,0.03,0.08,0,5.0,0,1.2,18,1.0,300,20,0,0.2,0,none
283,BBQ sauce,100,150,1.0,0.3,37.0,0.01,0.05,0,1.0,0,0.2,25,1.0,200,15,0,0.1,0,none
284,Teriyaki sauce,100,89,4.0,0.1,19.0,0,0.07,0,0,0,0.3,14,1.1,280,25,0,0.2,0,"soy, wheat (gluten)"
285,Salsa,100,36,1.5,0.2,8.0,0.02,0.10,0,13.0,0,0.7,34,1.2,270,20,0,0.2,0,none
286,Guacamole,100,150,2.0,13.0,9.0,0.01,0.20,0,9.0,0,2.0,20,0.6,490,29,0,0.6,0,none
287,Hoisin sauce,100,220,3.0,1.0,54.0,0.01,0.08,0,1.0,0,0.5,25,2.0,250,30,0,0.3,0,"soy, wheat (gluten)"
288,Sweet and sour sauce,100,150,1.0,0.1,38.0,0.01,0.05,0,2.0,0,0.2,10,0.5,200,15,0,0.1,0,none
289,Oyster sauce,100,51,1.5,0.2,11.0,0,0.07,0.001,1.0,0,0.2,40,1.0,110,10,0.015,0.2,0.020,"shellfish, soy, wheat (gluten)"
290,Fish sauce,100,60,10.0,0.1,5.0,0,0.10,0.001,0,0,0.1,40,2.0,200,30,0.020,0.3,0.030,fish
291,Wasabi paste,100,109,2.0,3.0,23.0,0,0.05,0,25.0,0,0.1,40,1.5,300,40,0,0.2,0,none
292,Horseradish sauce,100,140,1.5,11.0,10.0,0,0.07,0,24.0,0,0.2,30,1.2,250,20,0,0.2,0,none
293,Ranch dressing,100,430,1.0,44.0,6.0,0.01,0.05,0,0,0,2.0,45,0.8,60,5,0,0.2,0,"milk, egg"
294,Caesar dressing,100,480,2.0,48.0,5.0,0.01,0.07,0.001,0,0,2.5,50,1.0,70,6,0,0.3,0,"milk, fish, egg"
295,Thousand Island dressing,100,420,1.0,38.0,10.0,0.01,0.06,0,0,0,1.8,35,0.7,80,5,0,0.2,0,"milk, egg"
296,Blue cheese dressing,100,450,2.0,46.0,5.0,0.02,0.05,0.001,0,0,2.2,110,1.1,90,6,0,0.4,0,milk
298,"Ketchup, spicy",100,112,1.5,0.3,26.0,0.04,0.09,0,5.0,0,1.2,20,1.0,350,25,0,0.3,0,none
299,"Mustard, Dijon",100,66,5.0,5.0,6.0,0,0.09,0,1.0,0,0.5,64,1.6,150,32,0,0.5,0,none
300,"Soy milk, unsweetened",100,33,3.0,1.6,1.0,0,0.07,0,0,0,0.1,25,0.6,118,25,0,0.3,0,soy
301,"Almond milk, unsweetened",100,15,0.6,1.1,0.3,0,0.02,0,0,0,0.3,150,0.3,50,17,0,0.1,0,tree nuts
302,"Oat milk, unsweetened",100,43,1.0,1.5,7.0,0,0.05,0,0,0,0.2,120,0.4,160,22,0,0.2,0,none (gluten cross-contact)
303,"Coconut milk, canned",100,230,2.3,24.0,6.0,0,0.04,0,2.0,0,0.1,16,3.3,263,37,0,0.6,0,coconut
304,"Rice milk, unsweetened",100,47,0.3,1.0,9.0,0,0.02,0,0,0,0.1,120,0.2,20,8,0,0.1,0,none
305,"Hemp milk, unsweetened",100,21,0.9,1.8,0.3,0,0.05,0,0,0,0.2,120,0.4,110,25,0,0.2,0,none
306,Coconut water,100,19,0.7,0.2,3.7,0,0.05,0,2.4,0,0.1,24,0.3,250,25,0,0.2,0,none
307,"Kombucha, plain",100,20,0.3,0.1,4.8,0,0.02,0,0.5,0,0.1,12,0.2,30,5,0,0.1,0,none
308,"Beer, light",100,29,0.3,0,2.5,0,0,0,0,0,0,4,0.1,27,6,0,0,0,"alcohol, gluten"
309,"Cider, apple",100,47,0.1,0,6.9,0,0,0,0,0,0,7,0.2,100,8,0,0.1,0,alcohol
310,Champagne,100,65,0.3,0,1.0,0,0,0,0,0,0,5,0.1,50,4,0,0,0,alcohol
311,"Red wine, sweet",100,95,0.2,0,5.0,0,0,0,0,0,0,10,0.3,120,8,0,0.1,0,alcohol
312,"White wine, dry",100,82,0.1,0,2.6,0,0,0,0,0,0,9,0.2,80,6,0,0.1,0,alcohol
313,Brandy,100,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alcohol
314,Tequila,100,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alcohol
315,Absinthe,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alcohol
316,"Liqueur, coffee",100,327,0.1,0.2,46.0,0,0,0,0,0,0,8,0.2,25,3,0,0,0,alcohol
317,"Liqueur, orange",100,340,0.1,0.2,47.0,0,0,0,0,0,0,6,0.1,20,2,0,0,0,alcohol
319,"Liqueur, cream",100,327,1.0,13.0,25.0,0,0,0,0,0,0,100,0.2,50,5,0,0.1,0,"milk, alcohol"
320,"Liqueur, herbal",100,300,0,0,30.0,0,0,0,0,0,0,5,0.2,20,3,0,0,0,alcohol
321,Sake,100,134,0.5,0,5.0,0,0,0,0,0,0,2,0.1,10,2,0,0,0,alcohol
322,Soju,100,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alcohol
323,Mead,100,356,0.2,0,35.0,0,0,0,0,0,0,4,0.1,20,2,0,0,0,alcohol
324,Coconut cream,100,330,3.0,34.0,6.0,0,0.03,0,2.0,0,0.1,11,3.3,263,37,0,0.5,0,coconut
325,Almond flour,100,571,21.0,50.0,21.0,0,0.14,0,0,0,24.0,264,3.7,733,270,0,3.1,0,tree nuts
326,Coconut flour,100,400,20.0,14.0,60.0,0,0.10,0,0,0,0.5,26,3.5,400,90,0,1.0,0,coconut
327,Rice flour,100,366,6.0,1.5,80.0,0,0.05,0,0,0,0.2,10,0.4,76,35,0,0.6,0,none (gluten-free)
328,Corn flour,100,361,7.0,3.9,76.0,0,0.10,0,0,0,0.3,6,2.5,315,127,0,1.2,0,none (gluten-free)
329,"Wheat flour, white",100,364,10.0,1.0,76.0,0,0.08,0,0,0,0.2,15,1.2,107,22,0,0.9,0,wheat (gluten)
330,"Wheat flour, whole grain",100,340,13.0,2.5,72.0,0,0.30,0,0,0,0.5,33,3.6,431,138,0,2.7,0,wheat (gluten)
331,Rye flour,100,349,11.0,2.0,75.0,0,0.25,0,0,0,0.4,24,2.7,510,110,0,2.6,0,wheat (gluten)
332,Barley flour,100,345,10.0,1.5,74.0,0,0.20,0,0,0,0.3,32,3.0,280,80,0,2.0,0,wheat (gluten)
333,Buckwheat flour,100,335,13.0,3.1,71.0,0,0.21,0,0,0,0.2,18,2.2,460,231,0,2.4,0,none (gluten-free)
334,Millet flour,100,382,11.0,4.3,72.0,0,0.38,0,0,0,0.3,8,3.0,195,114,0,1.5,0,none (gluten-free)
335,Oat flour,100,404,15.0,9.0,65.0,0,0.12,0,0,0,0.2,54,4.7,429,177,0,2.9,0,none (may contain gluten)
336,Quinoa flour,100,368,14.0,6.0,64.0,0,0.49,0,0,0,2.4,47,4.6,563,197,0,3.1,0,none (gluten-free)
337,Amaranth flour,100,371,13.0,7.0,65.0,0,0.59,0,0,0,1.5,159,7.6,508,248,0,2.9,0,none (gluten-free)
338,Sorghum flour,100,359,10.0,3.3,76.0,0,0.44,0,0,0,0.3,13,4.4,363,165,0,1.7,0,none (gluten-free)
340,Spelt flour,100,338,15.0,2.4,70.0,0,0.30,0,0,0,0.4,27,4.4,388,136,0,3.3,0,wheat (gluten)
341,Teff flour,100,367,13.0,2.4,73.0,0,0.40,0,0,0,0.3,180,7.6,427,184,0,3.6,0,none (gluten-free)
342,Tapioca flour,100,358,0.2,0.1,88.0,0,0.02,0,0,0,0.0,12,1.6,20,1,0,0.1,0,none (gluten-free)
343,Arrowroot flour,100,357,0.3,0.1,88.0,0,0.02,0,0,0,0.0,40,2.0,11,3,0,0.1,0,none (gluten-free)
344,Potato flour,100,357,6.9,0.3,83.0,0,0.29,0,10.0,0,0.1,55,2.8,1000,110,0,1.2,0,none (gluten-free)
345,Sweet potato flour,100,360,4.0,0.6,83.0,0.01,0.25,0,20.0,0,0.2,40,2.1,900,100,0,0.9,0,none (gluten-free)
346,Chestnut flour,100,369,6.3,3.0,79.0,0,0.23,0,25.0,0,1.2,50,3.0,710,92,0,0.8,0,tree nuts
347,Pea flour,100,357,21.0,1.5,65.0,0,0.50,0,2.0,0,0.4,40,6.0,1100,130,0,3.5,0,none
348,Lentil flour,100,352,25.0,1.0,61.0,0,0.55,0,2.0,0,0.5,35,7.5,1200,150,0,3.8,0,none
349,Chickpea flour,100,387,22.0,6.0,57.0,0,0.54,0,4.0,0,0.4,45,6.2,875,115,0,3.4,0,none
350,Soy flour,100,372,35.0,18.0,30.0,0,0.38,0,6.0,0,0.9,200,15.7,1797,280,0,4.9,0,soy
